time,G1120,G1125,G1129,G1135,G1142,G1151,G1155,G1162,G1166,G1179,G1180,G1181,G1182,G1183,G1184,G1185,G1186,G1187,G1188,G1189,G1190,G1191,G1192,G1193,G3501,G3502,G3506,G3507,G3508,G3509,G3511,G3512,G3513,G3514,G3515,G3516,G3517,G3518,G3519,G3520,G3521,G3522,G3523,G3524,G3525,G3526,G3527,G3528,G3529,G3530,G3531,G3532,G3533,G3534,G3535,G3536,G3537,G3538,G3539,G3540,G3541,G3543,G3544,G3546,G3548,G3549,G3550,G3551,G3553,G3554,G3555,G3556,G3557,G3558,G3559,G3560,G3561,G3562,G3563,G3564,G3565,G3566,G3567,G3570,G3572,G3573,G3574,G3575,G3576,G3577,G3578,G3579,G3580,G3581,G3582,G3583,G3585,G3627,G3630,G3634,G3635,G3636,G3640,G3641,G3643,G3645,G3649,G3659,G3666,G3671,G3674,G3675,G3678,G3680,G3682,G3683,G3684,G3686,G3687,G3688,G3689,G3691,G3692,G3693,G3694,G3695,G3697,G3698,G3699,G3701,G3704,G3725,G3726,G3730,G3742,G3747,G3782
2018-07-01 00:00:00,991.7,999.6,998.0,1000.6,1000.8,1001.1,995.1,998.3,998.9,1003.9,996.2,997.6,993.0,1001.0,987.0,994.8,1004.5,1002.1,963.2,1004.0,993.9,993.5,1003.5,1001.8,998.4,997.6,998.0,995.5,998.8,986.9,1003.2,1003.9,997.0,998.9,1003.6,999.6,987.3,997.9,941.9,997.6,993.0,1002.7,992.4,996.3,1001.3,1004.3,991.6,1000.1,999.5,1000.9,998.3,1000.0,999.9,999.8,1000.4,998.8,999.2,995.1,998.2,1002.4,1000.1,997.0,1002.7,998.1,1000.4,964.7,997.9,995.3,994.1,995.9,992.9,1001.5,1001.3,997.6,995.2,994.7,1000.9,997.1,999.5,995.8,1000.0,1003.1,999.5,995.8,996.5,995.4,989.6,1001.4,996.9,990.3,992.7,991.9,1001.6,999.9,1002.6,990.8,1002.2,1002.3,1000.8,999.8,997.4,1004.1,1002.6,1001.9,1002.7,1004.5,995.7,933.4,1002.5,969.5,987.4,1003.5,995.9,1004.0,,996.7,999.4,1001.8,950.9,1001.9,997.8,1000.5,1000.7,998.9,,991.7,1000.8,995.2,982.4,996.8,1002.2,1001.5,907.0,1002.4,997.9,999.5,999.1
2018-07-01 00:30:00,991.8,999.7,998.0,1000.7,1001.0,1001.4,995.2,998.5,998.9,1004.0,996.4,,993.0,1001.2,987.0,995.0,1004.7,1002.3,962.9,1004.2,994.1,993.5,1004.0,1002.0,998.5,997.9,998.1,995.7,998.9,987.1,1003.4,1004.1,997.3,998.8,1003.8,999.8,987.3,998.0,942.0,997.8,993.1,1002.7,992.5,996.3,1001.5,1004.5,991.6,1000.3,999.7,1001.2,998.7,1000.2,1000.0,999.9,1000.4,998.9,999.3,995.2,998.4,1002.5,1000.4,997.2,1002.9,998.3,1000.7,964.8,998.0,995.5,994.3,996.0,993.1,1001.7,1001.5,997.7,995.5,994.8,1001.1,997.2,999.7,996.1,1000.2,1003.4,999.5,996.0,996.7,995.5,989.8,1001.8,997.0,990.3,992.7,992.0,1001.7,1000.0,1002.7,990.9,1002.3,1002.6,1000.8,999.9,997.7,1004.4,1002.7,1002.1,1003.0,1004.6,995.8,933.5,1002.6,969.8,987.4,1003.8,996.0,1004.3,,996.7,999.5,1002.0,950.9,1002.1,998.1,1000.5,1001.0,999.1,,991.9,1001.0,995.2,982.7,996.9,1002.5,1001.6,907.0,1002.5,997.9,999.6,999.4
2018-07-01 01:00:00,991.6,999.6,997.9,1000.6,1000.8,1001.1,995.0,998.3,998.9,1003.8,996.1,997.5,992.9,1000.9,986.9,994.8,1004.4,1002.1,963.3,1004.1,993.8,993.3,1003.6,1001.7,998.2,997.5,998.0,995.5,998.8,986.8,1003.1,1003.9,997.0,998.7,1003.5,999.7,987.2,997.9,941.9,997.6,993.0,1002.6,992.3,996.2,1001.3,1004.2,991.5,1000.1,999.4,1000.8,998.3,999.8,999.8,999.7,1000.2,998.7,999.1,995.0,998.2,1002.4,1000.2,997.0,1002.7,998.1,1000.4,964.6,997.7,995.2,994.0,995.9,992.9,1001.5,1001.2,997.6,995.2,994.7,1000.7,997.1,999.5,995.8,999.9,1003.3,999.4,995.8,996.4,995.3,989.5,1001.4,996.9,990.2,992.6,991.9,1001.6,999.8,1002.5,990.6,1002.1,1002.4,1000.8,999.7,997.3,1004.1,1002.6,1001.9,1002.7,1004.4,995.7,933.3,1002.5,969.5,987.3,1003.5,995.9,1004.0,,996.6,999.4,1001.7,950.8,1001.8,997.9,1000.4,,998.9,,991.7,1000.8,995.1,982.4,996.7,1002.2,1001.5,906.8,1002.3,997.7,999.5,999.1
2018-07-01 01:30:00,991.4,999.4,997.6,1000.3,1000.5,1000.7,994.6,998.2,998.6,1003.6,995.7,997.2,992.6,1000.5,986.6,994.5,1004.2,1001.7,963.0,1003.7,993.5,993.0,1003.2,1001.2,998.0,997.2,997.7,995.1,998.4,986.5,1003.0,1003.8,996.7,998.5,1003.1,999.2,986.9,997.6,941.6,997.2,992.7,1002.4,992.1,996.0,1001.3,1003.7,991.2,999.7,998.9,1000.5,997.9,999.1,999.8,999.5,1000.0,998.5,998.8,994.7,997.8,1002.0,1000.2,996.6,1002.5,997.8,1000.0,964.4,997.3,994.9,993.7,995.6,992.6,1001.2,1000.8,997.3,994.8,994.4,1000.6,996.8,999.5,995.4,999.6,1003.1,999.2,995.4,996.0,995.0,989.2,1001.2,996.6,989.9,992.4,991.6,1001.3,999.5,1002.4,990.0,1001.9,1002.2,1000.4,999.4,997.1,1003.7,1002.4,1001.5,1002.4,1004.1,995.4,933.1,1002.5,969.2,987.2,1003.2,995.5,1003.7,,996.3,999.1,1001.2,950.5,1001.5,997.8,1000.1,1000.4,998.5,,991.6,1000.5,994.8,982.1,996.3,1001.9,1001.4,906.6,1002.1,997.5,999.2,998.8
2018-07-01 02:00:00,991.0,999.1,997.2,999.9,1000.2,1000.3,994.3,997.8,998.1,1003.2,995.4,997.0,992.3,1000.0,986.2,994.1,1003.8,1001.4,962.6,1003.4,993.0,992.8,1002.7,1000.8,997.6,996.8,997.2,994.8,998.2,986.2,1002.7,1003.5,996.2,998.2,1002.7,999.1,986.6,997.2,941.1,997.0,992.3,1001.9,991.7,995.6,1001.0,1003.4,990.9,999.3,998.5,1000.2,997.5,998.9,999.4,999.1,999.7,998.3,998.6,994.5,997.6,1001.7,999.8,996.2,1002.3,997.5,999.7,964.1,996.9,994.4,993.4,995.3,992.3,1000.9,1000.4,996.9,994.5,994.0,1000.2,996.3,999.1,995.2,999.2,1002.9,998.9,995.1,995.7,994.6,988.7,1000.8,996.1,989.5,992.1,991.1,1000.9,999.1,1002.3,989.8,1001.5,1002.0,1000.0,999.0,996.5,1003.3,1002.2,1001.2,1002.1,1003.7,995.0,932.6,1002.2,968.8,987.0,1002.9,995.2,1003.2,,996.0,998.6,1000.8,950.3,1001.0,997.4,999.7,1000.0,998.0,,991.3,1000.2,994.3,981.7,995.9,1001.6,1001.1,906.2,1002.0,997.2,998.8,998.4
2018-07-01 02:30:00,991.0,999.0,997.2,999.8,1000.2,1000.3,994.2,997.8,998.0,1003.2,995.3,996.9,992.1,1000.1,986.1,994.1,1003.7,1001.3,962.3,1003.3,993.0,992.7,1002.8,1000.9,997.5,996.7,997.1,994.7,998.1,986.1,1002.7,1003.4,996.2,998.2,1002.8,999.0,986.5,997.1,941.2,997.0,992.2,1001.9,991.6,995.5,1001.0,1003.4,990.8,999.3,998.6,1000.0,997.5,998.9,999.4,999.0,999.7,998.2,998.5,994.4,997.6,1001.6,999.7,996.1,1002.2,997.3,999.6,964.0,996.9,994.4,993.3,995.2,992.1,1000.7,1000.4,996.8,994.5,993.9,1000.1,996.3,999.2,995.1,999.1,1002.9,998.9,995.1,995.7,994.5,988.7,1000.7,996.1,989.5,992.1,991.1,1000.9,999.1,1002.2,989.8,1001.5,1001.8,999.9,999.0,996.5,1003.3,1002.2,1001.2,1001.8,1003.8,995.0,932.6,1002.2,968.7,986.9,1002.8,995.2,1003.2,,996.0,998.5,1000.9,950.2,1001.0,997.3,999.6,1000.0,998.0,,991.2,1000.2,994.2,981.6,995.9,1001.4,1001.1,906.3,1001.8,997.2,998.7,998.3
2018-07-01 03:00:00,991.0,999.0,997.3,999.9,1000.2,1000.5,994.4,997.8,998.1,1003.0,995.5,996.9,992.2,1000.4,986.2,994.1,1003.9,1001.4,962.0,1003.4,993.2,992.7,1002.9,1001.1,997.7,996.9,997.3,994.8,998.1,986.2,1002.6,1003.4,996.4,998.1,1003.0,999.0,986.5,997.3,941.2,997.0,992.2,1002.0,991.7,995.6,1000.8,1003.7,990.9,999.6,998.9,1000.2,997.8,999.3,999.2,999.1,999.6,998.2,998.5,994.4,997.6,1001.7,999.6,996.4,1002.2,997.5,999.8,964.1,997.3,994.7,993.4,995.2,992.3,1000.8,1000.7,996.9,994.6,994.1,1000.3,996.4,999.0,995.2,999.3,1002.7,998.9,995.1,995.9,994.6,988.9,1000.8,996.2,989.5,992.0,991.2,1001.0,999.2,1002.0,990.0,1001.4,1001.8,1000.1,999.2,996.7,1003.5,1002.0,1001.3,1002.0,1003.8,995.1,932.6,1001.9,968.9,986.8,1002.9,995.2,1003.4,,995.9,998.7,1001.1,950.2,1001.3,997.3,999.7,,998.3,,991.2,1000.2,994.4,981.7,996.2,1001.5,1001.0,906.1,1001.7,997.2,998.9,998.5
2018-07-01 03:30:00,991.3,999.2,997.5,1000.2,1000.4,1000.7,994.7,997.8,998.4,1003.4,995.9,997.0,992.5,1000.5,986.5,994.5,1004.1,1001.7,961.7,1003.6,993.5,992.9,1003.2,1001.2,997.9,997.2,997.7,995.1,998.4,986.4,1002.7,1003.4,996.6,998.4,1003.1,999.2,986.8,997.5,941.4,997.1,992.5,1002.2,991.9,995.8,1000.8,1003.8,991.2,999.7,998.9,1000.4,998.0,999.3,999.3,999.4,999.8,998.3,998.7,994.6,997.8,1001.9,999.8,996.6,1002.2,997.7,1000.0,964.2,997.4,994.9,993.7,995.5,992.5,1001.0,1000.8,997.2,994.8,994.3,1000.5,996.7,999.1,995.4,999.6,1002.8,999.0,995.4,996.1,995.0,989.2,1001.0,996.5,989.8,992.2,991.5,1001.1,999.4,1002.1,990.2,1001.6,1001.8,1000.3,999.4,997.0,1003.8,1002.2,1001.5,1002.3,1004.1,995.3,932.8,1002.1,969.1,986.8,1003.2,995.6,1003.7,,996.2,999.0,1001.2,950.4,1001.4,997.4,1000.1,1000.3,998.5,,991.3,1000.4,994.7,982.0,996.3,1001.9,1001.1,906.5,1001.9,997.4,999.1,998.7
2018-07-01 04:00:00,991.2,999.2,997.5,1000.1,1000.4,1000.6,994.6,997.9,998.4,1003.4,995.7,997.1,992.5,1000.4,986.4,994.3,1004.0,1001.6,961.7,1003.6,993.4,992.8,1003.1,1001.0,997.8,997.1,997.5,995.0,998.3,986.4,1002.8,1003.5,996.6,998.4,1003.0,999.2,986.7,997.5,941.4,997.1,992.5,1002.2,991.8,995.8,1001.0,1003.6,991.1,999.6,998.8,1000.3,997.8,999.1,999.5,999.3,999.9,998.4,998.6,994.6,997.7,1001.9,999.7,996.5,1002.3,997.6,1000.0,964.2,997.2,994.8,993.6,995.5,992.3,1001.0,1000.7,997.2,994.7,994.3,1000.3,996.6,999.2,995.4,999.5,1002.9,999.1,995.3,996.0,994.9,989.0,1000.9,996.4,989.8,,991.4,1001.2,999.4,1002.2,989.9,1001.7,1002.0,1000.3,999.2,997.0,1003.6,1002.2,1001.4,1002.2,1004.0,995.2,932.8,1002.1,969.0,987.0,1003.0,995.5,1003.5,,996.1,998.9,1001.1,950.4,1001.3,997.4,999.9,1000.3,998.3,,991.3,1000.4,994.6,981.9,996.2,1001.8,1001.2,906.3,1002.0,997.3,999.1,998.6
2018-07-01 04:30:00,991.1,999.2,997.5,1000.1,1000.2,1000.5,994.5,997.9,998.3,1003.3,995.7,997.0,992.4,1000.3,986.3,994.3,1003.9,1001.5,962.0,1003.4,993.4,992.8,1002.8,1001.1,997.7,997.0,997.5,995.0,998.4,986.4,1002.8,1003.5,996.5,998.3,1003.0,999.3,986.8,997.4,941.4,997.2,992.3,1002.2,991.9,995.7,1001.0,1003.5,991.0,999.5,998.8,1000.3,997.8,999.2,999.5,999.3,999.8,998.4,998.7,994.6,997.8,1001.7,1000.0,996.5,1002.3,997.5,999.9,964.2,997.1,994.8,993.6,995.4,992.2,1000.9,1000.5,997.1,994.7,994.2,1000.3,996.6,999.2,995.4,999.4,1002.8,999.0,995.3,996.0,994.8,989.0,1001.0,996.4,989.7,992.2,991.4,1001.1,999.4,1002.0,990.0,1001.6,1002.0,1000.2,999.2,996.9,1003.5,1002.2,1001.3,1002.1,1003.9,995.2,932.8,1002.0,968.9,986.8,1002.9,995.4,1003.4,,996.2,998.9,1001.1,950.3,1001.2,997.5,999.9,1000.1,998.3,,991.4,1000.2,994.5,981.8,996.2,1001.6,1001.1,906.2,1001.9,997.3,999.0,998.5
