time,G1191,G3501,G3502,G3512,G3525,G3536,G3544,G3550,G3551,G3556,G3566,G3567,G3585,G3666,G3671,G3674,G3675,G3678,G3680,G3682,G3683,G3684,G3686,G3687,G3688,G3689,G3691,G3692,G3693,G3694,G3695,G3698,G3699,G3701,G3704,G3782
2018-07-01 00:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 00:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 01:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 01:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 02:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 02:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 03:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 03:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 04:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 04:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 05:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 05:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 06:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 06:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 07:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 07:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 08:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 08:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 09:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 09:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 10:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 10:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 11:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 11:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 12:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 12:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 13:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 13:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 14:00:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
2018-07-01 14:30:00,7.8,1.6,,14.9,0.7,1.1,10.8,3.4,3.4,4.8,0.4,1.9,2.3,7.5,1.0,0.8,1.7,1.4,3.2,1.6,1.8,1.3,4.1,1.8,4.1,3.1,1.2,0.9,0.7,6.5,7.8,1.2,1.2,0.9,1.2,5.2
