time,G1120,G1125,G1129,G1135,G1142,G1151,G1155,G1162,G1166,G1179,G1180,G1181,G1182,G1183,G1184,G1185,G1186,G1187,G1188,G1189,G1190,G1191,G1192,G1193,G3501,G3502,G3506,G3507,G3508,G3509,G3511,G3512,G3513,G3514,G3515,G3516,G3517,G3518,G3519,G3520,G3521,G3522,G3523,G3524,G3525,G3526,G3527,G3528,G3529,G3530,G3531,G3532,G3533,G3534,G3535,G3536,G3537,G3538,G3539,G3540,G3541,G3543,G3544,G3546,G3548,G3549,G3550,G3551,G3553,G3554,G3555,G3556,G3557,G3558,G3559,G3560,G3561,G3562,G3563,G3564,G3565,G3566,G3567,G3570,G3572,G3573,G3574,G3575,G3576,G3577,G3578,G3579,G3580,G3581,G3582,G3585,G3627,G3630,G3634,G3635,G3636,G3640,G3641,G3643,G3645,G3649,G3659,G3666,G3671,G3674,G3675,G3678,G3680,G3682,G3683,G3684,G3686,G3687,G3688,G3689,G3691,G3692,G3693,G3694,G3695,G3697,G3698,G3699,G3701,G3704,G3725,G3726,G3730,G3742,G3747,G3782
2018-06-01 00:00:00,74.0,84.0,70.0,79.0,76.0,80.0,74.0,82.0,67.0,77.0,67.0,86.0,84.0,78.0,74.0,68.0,82.0,73.0,79.0,78.0,76.0,82.0,82.0,71.0,77.0,77.0,72.0,78.0,77.0,74.0,87.0,81.0,67.0,82.0,73.0,88.0,84.0,76.0,73.0,91.0,81.0,69.0,73.0,77.0,80.0,84.0,73.0,77.0,74.0,76.0,81.0,72.0,71.0,75.0,75.0,85.0,74.0,78.0,74.0,76.0,79.0,71.0,81.0,78.0,75.0,91.0,77.0,73.0,73.0,70.0,75.0,77.0,82.0,69.0,66.0,73.0,75.0,79.0,78.0,87.0,73.0,79.0,72.0,68.0,71.0,71.0,74.0,90.0,,68.0,74.0,70.0,72.0,73.0,89.0,76.0,80.0,71.0,73.0,73.0,83.0,90.0,76.0,82.0,85.0,76.0,82.0,78.0,93.0,87.0,72.0,73.0,84.0,80.0,83.0,77.0,71.0,86.0,81.0,92.0,73.0,79.0,87.0,74.0,88.0,76.0,78.0,86.0,75.0,83.0,80.0,65.0,90.0,83.0,77.0,85.0
2018-06-01 01:00:00,82.0,85.0,73.0,82.0,77.0,80.0,77.0,84.0,67.0,80.0,72.0,82.0,86.0,80.0,76.0,70.0,88.0,73.0,82.0,80.0,78.0,86.0,83.0,76.0,80.0,78.0,73.0,83.0,77.0,77.0,88.0,80.0,71.0,81.0,76.0,91.0,87.0,77.0,90.0,92.0,83.0,75.0,81.0,79.0,80.0,84.0,73.0,78.0,77.0,75.0,83.0,77.0,71.0,77.0,74.0,83.0,76.0,79.0,75.0,79.0,85.0,72.0,82.0,78.0,74.0,87.0,78.0,73.0,77.0,70.0,76.0,80.0,81.0,70.0,67.0,72.0,73.0,84.0,79.0,88.0,81.0,80.0,77.0,71.0,73.0,73.0,77.0,90.0,76.0,74.0,73.0,72.0,76.0,80.0,86.0,78.0,82.0,72.0,75.0,77.0,80.0,94.0,76.0,83.0,90.0,77.0,89.0,79.0,92.0,89.0,73.0,74.0,82.0,83.0,85.0,87.0,75.0,77.0,81.0,94.0,77.0,79.0,76.0,74.0,89.0,77.0,81.0,86.0,76.0,84.0,81.0,66.0,90.0,82.0,79.0,87.0
2018-06-01 02:00:00,80.0,86.0,70.0,83.0,81.0,79.0,77.0,86.0,72.0,82.0,75.0,87.0,84.0,81.0,82.0,70.0,82.0,75.0,86.0,82.0,89.0,82.0,81.0,76.0,81.0,82.0,76.0,86.0,79.0,76.0,90.0,83.0,79.0,84.0,75.0,90.0,87.0,79.0,82.0,93.0,84.0,72.0,81.0,80.0,81.0,86.0,77.0,79.0,76.0,78.0,83.0,79.0,75.0,79.0,76.0,85.0,75.0,79.0,77.0,78.0,85.0,72.0,82.0,81.0,78.0,87.0,77.0,71.0,75.0,70.0,81.0,80.0,80.0,71.0,67.0,73.0,77.0,89.0,79.0,89.0,82.0,81.0,75.0,72.0,73.0,84.0,74.0,91.0,77.0,74.0,75.0,75.0,77.0,78.0,88.0,81.0,81.0,76.0,75.0,76.0,83.0,94.0,78.0,84.0,90.0,80.0,94.0,78.0,93.0,84.0,77.0,74.0,84.0,82.0,84.0,89.0,77.0,94.0,80.0,94.0,82.0,,89.0,78.0,92.0,81.0,83.0,88.0,79.0,83.0,85.0,69.0,91.0,84.0,78.0,87.0
2018-06-01 03:00:00,80.0,87.0,69.0,87.0,84.0,79.0,83.0,84.0,73.0,84.0,75.0,88.0,88.0,80.0,83.0,70.0,85.0,77.0,87.0,82.0,85.0,83.0,82.0,77.0,82.0,85.0,77.0,89.0,87.0,77.0,90.0,81.0,74.0,85.0,75.0,93.0,90.0,82.0,96.0,94.0,89.0,72.0,80.0,80.0,83.0,86.0,78.0,80.0,79.0,80.0,84.0,80.0,74.0,84.0,79.0,83.0,77.0,77.0,77.0,81.0,87.0,72.0,83.0,83.0,81.0,89.0,79.0,74.0,78.0,72.0,83.0,82.0,82.0,73.0,72.0,72.0,78.0,86.0,81.0,91.0,78.0,84.0,78.0,71.0,77.0,83.0,79.0,90.0,78.0,74.0,78.0,77.0,75.0,79.0,87.0,84.0,83.0,77.0,78.0,79.0,83.0,95.0,81.0,83.0,94.0,85.0,93.0,81.0,92.0,83.0,78.0,77.0,82.0,83.0,85.0,90.0,81.0,84.0,80.0,95.0,82.0,83.0,91.0,80.0,94.0,84.0,82.0,90.0,78.0,83.0,87.0,72.0,,86.0,79.0,83.0
2018-06-01 04:00:00,82.0,83.0,79.0,87.0,82.0,80.0,87.0,84.0,74.0,82.0,77.0,89.0,89.0,83.0,85.0,72.0,87.0,77.0,89.0,82.0,89.0,86.0,77.0,79.0,85.0,85.0,78.0,90.0,88.0,80.0,89.0,82.0,78.0,86.0,78.0,91.0,91.0,82.0,90.0,94.0,86.0,76.0,82.0,84.0,85.0,83.0,80.0,83.0,80.0,78.0,85.0,88.0,73.0,81.0,79.0,84.0,77.0,78.0,80.0,83.0,88.0,75.0,83.0,82.0,79.0,89.0,77.0,74.0,82.0,73.0,81.0,82.0,82.0,74.0,73.0,74.0,81.0,90.0,81.0,91.0,80.0,86.0,81.0,73.0,76.0,84.0,80.0,91.0,80.0,77.0,76.0,78.0,78.0,81.0,83.0,82.0,84.0,79.0,80.0,79.0,85.0,93.0,84.0,83.0,96.0,86.0,90.0,79.0,94.0,83.0,83.0,80.0,85.0,84.0,85.0,93.0,88.0,78.0,81.0,95.0,83.0,80.0,92.0,79.0,93.0,82.0,86.0,88.0,79.0,83.0,87.0,73.0,90.0,84.0,81.0,85.0
2018-06-01 05:00:00,82.0,82.0,72.0,91.0,82.0,80.0,89.0,85.0,75.0,83.0,85.0,90.0,87.0,82.0,87.0,72.0,88.0,86.0,89.0,82.0,91.0,87.0,80.0,77.0,86.0,83.0,83.0,92.0,90.0,84.0,90.0,82.0,84.0,87.0,79.0,94.0,93.0,84.0,94.0,95.0,87.0,78.0,84.0,82.0,85.0,85.0,81.0,85.0,79.0,78.0,85.0,89.0,75.0,85.0,81.0,83.0,80.0,79.0,80.0,82.0,89.0,75.0,84.0,83.0,83.0,91.0,76.0,78.0,80.0,74.0,81.0,83.0,80.0,74.0,75.0,75.0,80.0,94.0,84.0,92.0,86.0,87.0,78.0,74.0,80.0,91.0,78.0,92.0,83.0,78.0,76.0,81.0,80.0,83.0,84.0,83.0,85.0,81.0,80.0,79.0,80.0,96.0,80.0,84.0,95.0,82.0,99.0,80.0,92.0,79.0,83.0,80.0,79.0,84.0,88.0,94.0,88.0,91.0,77.0,95.0,85.0,88.0,92.0,80.0,93.0,82.0,86.0,90.0,81.0,84.0,87.0,83.0,89.0,86.0,81.0,86.0
2018-06-01 06:00:00,82.0,83.0,73.0,86.0,85.0,79.0,83.0,86.0,75.0,83.0,91.0,91.0,91.0,82.0,83.0,73.0,93.0,85.0,90.0,82.0,92.0,87.0,83.0,77.0,87.0,82.0,87.0,92.0,91.0,83.0,92.0,83.0,89.0,89.0,83.0,93.0,94.0,86.0,88.0,95.0,87.0,79.0,85.0,86.0,87.0,90.0,80.0,86.0,79.0,80.0,87.0,92.0,74.0,88.0,81.0,85.0,81.0,78.0,80.0,83.0,92.0,75.0,83.0,83.0,90.0,84.0,79.0,79.0,82.0,76.0,80.0,82.0,77.0,75.0,74.0,77.0,81.0,96.0,84.0,93.0,90.0,88.0,84.0,75.0,79.0,93.0,82.0,90.0,84.0,82.0,80.0,82.0,78.0,83.0,,83.0,84.0,81.0,81.0,77.0,82.0,96.0,80.0,84.0,96.0,89.0,100.0,82.0,92.0,82.0,86.0,81.0,83.0,82.0,88.0,94.0,91.0,91.0,78.0,96.0,86.0,91.0,92.0,83.0,93.0,85.0,88.0,86.0,81.0,84.0,89.0,83.0,89.0,84.0,83.0,86.0
2018-06-01 07:00:00,80.0,80.0,66.0,84.0,82.0,75.0,73.0,83.0,72.0,83.0,84.0,85.0,88.0,78.0,82.0,73.0,86.0,83.0,82.0,82.0,87.0,87.0,82.0,75.0,83.0,83.0,84.0,88.0,83.0,82.0,86.0,80.0,84.0,85.0,76.0,85.0,91.0,75.0,81.0,92.0,85.0,78.0,85.0,84.0,81.0,83.0,77.0,77.0,75.0,75.0,84.0,87.0,72.0,80.0,75.0,81.0,80.0,80.0,79.0,78.0,87.0,71.0,80.0,78.0,81.0,83.0,77.0,71.0,79.0,71.0,74.0,80.0,74.0,75.0,72.0,74.0,82.0,89.0,84.0,89.0,82.0,83.0,79.0,73.0,75.0,89.0,78.0,85.0,81.0,73.0,77.0,74.0,78.0,78.0,80.0,81.0,80.0,78.0,81.0,76.0,81.0,88.0,78.0,83.0,90.0,80.0,100.0,75.0,88.0,78.0,81.0,73.0,78.0,83.0,82.0,85.0,81.0,88.0,77.0,90.0,83.0,82.0,85.0,78.0,86.0,82.0,80.0,83.0,84.0,84.0,88.0,93.0,83.0,75.0,78.0,87.0
2018-06-01 08:00:00,77.0,75.0,62.0,69.0,80.0,75.0,70.0,77.0,65.0,83.0,66.0,78.0,76.0,74.0,66.0,75.0,78.0,73.0,76.0,82.0,68.0,83.0,76.0,71.0,78.0,77.0,71.0,74.0,76.0,78.0,76.0,76.0,72.0,72.0,73.0,77.0,75.0,69.0,84.0,78.0,84.0,76.0,77.0,74.0,75.0,85.0,60.0,67.0,68.0,70.0,75.0,77.0,75.0,72.0,71.0,80.0,75.0,75.0,75.0,76.0,82.0,60.0,81.0,75.0,73.0,78.0,73.0,66.0,72.0,69.0,77.0,83.0,73.0,70.0,66.0,69.0,75.0,66.0,82.0,75.0,72.0,87.0,79.0,73.0,68.0,72.0,62.0,87.0,68.0,69.0,76.0,64.0,71.0,78.0,77.0,80.0,77.0,67.0,74.0,70.0,79.0,75.0,73.0,83.0,74.0,75.0,86.0,73.0,74.0,75.0,79.0,68.0,78.0,,79.0,69.0,73.0,87.0,77.0,77.0,68.0,72.0,70.0,76.0,81.0,80.0,71.0,78.0,68.0,82.0,80.0,91.0,79.0,71.0,75.0,83.0
2018-06-01 09:00:00,64.0,72.0,57.0,58.0,74.0,73.0,65.0,76.0,62.0,85.0,63.0,73.0,70.0,68.0,68.0,70.0,69.0,60.0,69.0,81.0,61.0,82.0,69.0,68.0,69.0,64.0,64.0,74.0,69.0,72.0,74.0,76.0,63.0,70.0,71.0,72.0,68.0,67.0,82.0,74.0,79.0,64.0,71.0,64.0,74.0,80.0,58.0,58.0,58.0,73.0,65.0,69.0,72.0,66.0,67.0,77.0,69.0,70.0,70.0,75.0,75.0,63.0,81.0,79.0,60.0,81.0,69.0,61.0,68.0,68.0,76.0,81.0,77.0,65.0,64.0,66.0,65.0,61.0,83.0,70.0,58.0,87.0,73.0,68.0,61.0,65.0,61.0,81.0,62.0,66.0,71.0,60.0,67.0,72.0,84.0,80.0,79.0,61.0,61.0,63.0,74.0,77.0,68.0,85.0,75.0,71.0,87.0,77.0,85.0,79.0,71.0,64.0,74.0,69.0,73.0,60.0,67.0,75.0,73.0,80.0,55.0,68.0,69.0,68.0,77.0,74.0,66.0,82.0,62.0,79.0,81.0,95.0,78.0,69.0,64.0,83.0
